Restaurant ID,Restaurant Name,Country Code,City,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Aggregate rating,Votes
6317637,Le Petit Souffle,162,Makati City,"French, Japanese, Desserts",1100,Botswana Pula(P),Yes,No,4.8,314
6304287,Izakaya Kikufuji,162,Makati City,Japanese,1200,Botswana Pula(P),Yes,No,4.5,591
6300002,Heat - Edsa Shangri-La,162,Mandaluyong City,"Seafood, Asian, Filipino, Indian",4000,Botswana Pula(P),Yes,No,4.4,270
6318506,Ooma,162,Mandaluyong City,"Japanese, Sushi",1500,Botswana Pula(P),No,No,4.9,365
6314302,Sambo Kojin,162,Mandaluyong City,"Japanese, Korean",1500,Botswana Pula(P),Yes,No,4.8,229
18189371,Din Tai Fung,162,Mandaluyong City,Chinese,1000,Botswana Pula(P),No,No,4.4,336
6300781,Buffet 101,162,Pasay City,"Asian, European",2000,Botswana Pula(P),Yes,No,4.0,520
6301290,Vikings,162,Pasay City,"Seafood, Filipino, Asian, European",2000,Botswana Pula(P),Yes,No,4.2,677
6300010,Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,"European, Asian, Indian",6000,Botswana Pula(P),Yes,No,4.9,621
6314987,Locavore,162,Pasig City,Filipino,1100,Botswana Pula(P),Yes,No,4.8,532
6309903,Silantro Fil-Mex,162,Pasig City,"Filipino, Mexican",800,Botswana Pula(P),No,No,4.9,1070
6309455,Mad Mark's Creamery & Good Eats,162,Pasig City,"American, Ice Cream, Desserts",900,Botswana Pula(P),Yes,No,4.2,488
6318433,Silantro Fil-Mex,162,Quezon City,"Filipino, Mexican",800,Botswana Pula(P),No,No,4.8,294
6310470,Guevarra's,162,San Juan City,Filipino,1000,Botswana Pula(P),Yes,No,4.2,458
6314605,Sodam Korean Restaurant,162,San Juan City,Korean,700,Botswana Pula(P),No,No,4.3,223
18185059,Cafe Arabelle,162,Santa Rosa,"Cafe, American, Italian, Filipino",800,Botswana Pula(P),No,No,3.6,29
18182702,Nonna's Pasta & Pizzeria,162,Santa Rosa,"Italian, Pizza",850,Botswana Pula(P),No,No,4.0,72
6318213,Balay Dako,162,Tagaytay City,Filipino,1200,Botswana Pula(P),Yes,No,4.5,211
18255654,Hobing Korean Dessert Cafe,162,Taguig City,"Cafe, Korean, Desserts",600,Botswana Pula(P),No,No,4.5,118
6308205,Wildflour Cafe + Bakery,162,Taguig City,"Cafe, Bakery, American, Italian",1500,Botswana Pula(P),Yes,No,4.4,392
6315438,NIU by Vikings,162,Taguig City,"Seafood, American, Mediterranean, Japanese",3000,Botswana Pula(P),Yes,No,4.7,535
6310406,The Food Hall by Todd English,162,Taguig City,"American, Asian, Italian, Seafood",1800,Botswana Pula(P),Yes,No,4.5,618
6600681,Chez Michou,30,Bras?lia,"Fast Food, French",55,Brazilian Real(R$),No,No,3.0,6
6601005,Caf? Daniel Briand,30,Bras?lia,Cafe,30,Brazilian Real(R$),No,No,3.8,9
6600292,Casa do Biscoito Mineiro,30,Bras?lia,Bakery,45,Brazilian Real(R$),No,No,3.7,11
6600441,Maori,30,Bras?lia,Brazilian,60,Brazilian Real(R$),No,No,3.8,11
6600970,Pizza ? Bessa,30,Bras?lia,Pizza,50,Brazilian Real(R$),No,No,3.2,11
6600379,Sushi Loko,30,Bras?lia,Japanese,80,Brazilian Real(R$),No,No,3.1,10
6600214,Beirute,30,Bras?lia,Arabian,90,Brazilian Real(R$),No,No,3.7,8
6601218,New Koto,30,Bras?lia,Japanese,200,Brazilian Real(R$),No,No,3.7,5
6600060,Sandubas Caf?,30,Bras?lia,"Brazilian, Cafe",30,Brazilian Real(R$),No,No,0.0,2
6600083,Villa Tevere,30,Bras?lia,Italian,150,Brazilian Real(R$),No,No,4.1,12
6601515,Rovereto,30,Bras?lia,Pizza,100,Brazilian Real(R$),No,No,3.1,9
6601361,Buena Carne,30,Bras?lia,"Bar Food, Brazilian",60,Brazilian Real(R$),No,No,3.6,9
6601602,Taco Pep,30,Bras?lia,"Mexican, Grill",100,Brazilian Real(R$),No,No,4.3,29
6601589,Coco Bambu,30,Bras?lia,International,230,Brazilian Real(R$),No,No,4.2,17
6601862,Tayp?,30,Bras?lia,"Peruvian, Latin American",100,Brazilian Real(R$),No,No,3.6,5
6601595,Outback Steakhouse,30,Bras?lia,"American, Grill",150,Brazilian Real(R$),No,No,4.0,10
6601158,Manzu?,30,Bras?lia,Seafood,240,Brazilian Real(R$),No,No,3.2,6
6600427,Coco Bambu,30,Bras?lia,International,230,Brazilian Real(R$),No,No,4.9,30
6600116,Gero,30,Bras?lia,Italian,350,Brazilian Real(R$),No,No,3.3,8
6601457,Brazilian American Burgers,30,Bras?lia,"American, Burger",50,Brazilian Real(R$),No,No,3.6,9
7303219,Pesqueiro Eco Gourmet,30,Rio de Janeiro,"Seafood, Bar Food, Brazilian",140,Brazilian Real(R$),No,No,4.0,7
7304307,Confeitaria Colombo,30,Rio de Janeiro,"Desserts, Cafe",100,Brazilian Real(R$),No,No,4.8,29
7301215,Bibi,30,Rio de Janeiro,"Juices, Healthy Food",60,Brazilian Real(R$),No,No,4.7,24
7300596,Cervantes,30,Rio de Janeiro,"Beverages, Bar Food, Fast Food",90,Brazilian Real(R$),No,No,4.5,29
7300612,Amir,30,Rio de Janeiro,Lebanese,170,Brazilian Real(R$),No,No,4.2,11
7300704,TT Burger,30,Rio de Janeiro,Burger,60,Brazilian Real(R$),No,No,4.8,19
7300955,Braseiro da G?vea,30,Rio de Janeiro,"Brazilian, Bar Food",100,Brazilian Real(R$),No,No,4.9,40
7300521,Balada Mix,30,Rio de Janeiro,"Brazilian, Healthy Food, Juices, Pizza",90,Brazilian Real(R$),No,No,4.6,21
7300515,Garota de Ipanema,30,Rio de Janeiro,"Brazilian, Bar Food",120,Brazilian Real(R$),No,No,4.9,49
7300483,Zaz? Bistr? Tropical,30,Rio de Janeiro,Brazilian,170,Brazilian Real(R$),No,No,4.6,21
7301064,Fil? de Ouro,30,Rio de Janeiro,Brazilian,90,Brazilian Real(R$),No,No,4.3,14
7304312,D.O.C Ristorante,30,Rio de Janeiro,Italian,150,Brazilian Real(R$),No,No,4.0,5
7300004,Sushi Leblon,30,Rio de Janeiro,Japanese,250,Brazilian Real(R$),No,No,4.6,25
7300868,Talho Capixaba,30,Rio de Janeiro,"Bakery, Sandwich, Brazilian",120,Brazilian Real(R$),No,No,4.4,13
7302637,Leme Light,30,Rio de Janeiro,Brazilian,40,Brazilian Real(R$),No,No,4.2,7
7302140,Shirley,30,Rio de Janeiro,"Brazilian, Seafood",250,Brazilian Real(R$),No,No,4.2,8
7305048,Quiosque Chopp Brahma,30,Rio de Janeiro,"Bar Food, Brazilian",70,Brazilian Real(R$),No,No,0.0,1
7302898,Apraz?vel,30,Rio de Janeiro,Brazilian,300,Brazilian Real(R$),No,No,4.7,44
7302859,Aconchego Carioca,30,Rio de Janeiro,"Brazilian, Bar Food",85,Brazilian Real(R$),No,No,4.6,24
7301700,Garota de Ipanema,30,Rio de Janeiro,"Brazilian, Bar Food",80,Brazilian Real(R$),No,No,4.3,10
6706313,Cantina Famiglia Mancini,30,S?o Paulo,"Italian, Pizza",250,Brazilian Real(R$),No,No,4.5,49
6704326,Templo da Carne - Marcos Bassi,30,S?o Paulo,"Steak, BBQ",250,Brazilian Real(R$),No,No,4.4,17
6711179,Gopala Hari,30,S?o Paulo,Indian,70,Brazilian Real(R$),No,No,3.1,5
6702797,Jiquitaia,30,S?o Paulo,Brazilian,100,Brazilian Real(R$),No,No,4.1,15
6700475,Skye - Hotel Unique,30,S?o Paulo,"Beverages, International",300,Brazilian Real(R$),No,No,4.8,59
6713413,Les 3 Brasseurs,30,S?o Paulo,"French, Brazilian, Beverages",120,Brazilian Real(R$),No,No,4.6,30
6714340,Red Steak & Burger,30,S?o Paulo,"Brazilian, Grill",75,Brazilian Real(R$),No,No,3.9,5
6710645,Cantinho da Gula,30,S?o Paulo,Brazilian,55,Brazilian Real(R$),No,No,0.0,0
6700402,Paris 6 Classique,30,S?o Paulo,French,200,Brazilian Real(R$),No,No,3.4,73
6700846,Kawa Sushi,30,S?o Paulo,"Sushi, Japanese",120,Brazilian Real(R$),No,No,3.5,9
6702159,A Figueira Rubaiyat,30,S?o Paulo,"BBQ, Grill, Brazilian",300,Brazilian Real(R$),No,No,4.3,39
6711666,Kinoshita,30,S?o Paulo,Sushi,230,Brazilian Real(R$),No,No,3.9,12
6701257,Meats,30,S?o Paulo,"Gourmet Fast Food, Burger",120,Brazilian Real(R$),No,No,4.3,68
6706211,Paribar,30,S?o Paulo,"Brazilian, Italian",150,Brazilian Real(R$),No,No,4.3,46
6705858,Terra?o It?lia,30,S?o Paulo,Italian,400,Brazilian Real(R$),No,No,4.4,37
6701419,Divino Fog?o,30,S?o Paulo,"Brazilian, Mineira",65,Brazilian Real(R$),No,No,0.0,2
6703956,Super Grill,30,S?o Paulo,Brazilian,50,Brazilian Real(R$),No,No,0.0,2
6709580,Esquina Mocot?,30,S?o Paulo,"Brazilian, North Eastern",100,Brazilian Real(R$),No,No,4.4,22
6703176,Veloso,30,S?o Paulo,"Brazilian, Bar Food, Beverages",70,Brazilian Real(R$),No,No,4.6,58
6713772,Sainte Marie Gastronomia,30,S?o Paulo,"Lebanese, Arabian",120,Brazilian Real(R$),No,No,4.1,11
17284404,Austin's BBQ and Oyster Bar,216,Albany,"BBQ, Burger, Seafood",25,Dollar($),No,No,3.3,35
17284203,BJ's Country Buffet,216,Albany,"American, BBQ",10,Dollar($),No,No,3.3,25
17284105,Cookie Shoppe,216,Albany,,0,Dollar($),No,No,3.4,34
